RMS,Kurtosis,CrestFactor,P2P,CurrentAmp,DominantFreq,SpectralEnergy,Temp,Label
4.845,1.864,2.612,12.291,1.39,2.91,982.74,32.44,0
4.177,8.045,3.557,13.971,2.48,4.26,1154.72,32.44,0
4.217,8.218,3.524,14.19,2.16,4.75,863.91,32.44,0
3.975,-0.935,1.672,6.05,0.51,5.73,907.06,32.44,0
4.095,-0.407,1.83,6.824,0.26,5.75,903.82,32.44,0
3.976,0.533,2.201,7.847,0.17,5.83,862.12,32.44,0
4.309,7.977,3.448,14.125,1.32,7.8,1229.91,32.44,0
4.177,-0.224,1.8,6.621,0.0,9.17,850.51,32.44,0
3.911,-0.438,1.769,6.255,0.89,6.6,854.17,32.44,0
5.093,2.071,2.917,14.398,0.25,3.37,1062.6,32.44,0
4.274,1.499,2.277,9.27,0.61,5.88,916.77,32.44,0
4.117,-0.195,1.917,7.191,0.37,6.68,937.26,32.5,0
4.122,-0.02,1.898,7.67,0.49,6.66,883.0,32.44,0
4.141,-0.193,2.108,8.265,0.43,5.23,925.54,32.44,0
4.143,0.486,2.184,8.443,0.27,5.43,901.3,32.5,0
4.268,-0.29,1.808,7.144,0.61,5.01,979.57,32.44,0
4.404,-0.353,1.82,7.829,0.87,7.52,994.99,32.44,0
4.371,18.848,4.36,18.517,1.75,7.38,942.46,32.44,0
4.146,0.769,2.163,8.627,0.63,6.1,918.62,32.44,0
4.574,0.637,2.128,9.126,0.83,5.09,1127.43,32.5,0
4.084,-0.513,1.867,6.995,0.36,5.55,899.9,32.5,0
3.929,-0.569,1.868,6.88,0.18,6.0,887.9,32.44,0
4.149,-0.272,1.961,7.855,0.99,7.09,884.5,32.44,0
4.181,-0.347,1.884,7.062,0.36,6.97,975.51,32.44,0
4.287,0.002,1.943,8.053,0.48,7.3,1030.11,32.44,0
3.943,-0.724,1.84,6.584,0.99,6.45,846.81,32.44,0
4.183,-0.372,1.816,6.873,0.37,6.94,903.41,32.44,0
4.108,-0.273,1.95,7.658,0.22,6.38,937.47,32.44,0
4.342,-0.251,1.851,7.669,0.69,5.38,1029.2,32.44,0
4.255,-0.318,1.841,7.509,0.64,6.15,903.81,32.5,0
5.392,0.914,2.755,13.876,0.26,5.13,1326.93,32.44,0
4.157,-0.318,1.924,7.795,0.77,5.09,975.66,32.5,0
4.146,-0.634,1.825,7.344,0.2,6.93,957.77,32.44,0
4.202,-0.426,1.917,7.615,0.9,5.52,953.97,32.44,0
4.153,-0.455,1.7,6.567,1.8,8.77,943.83,32.5,0
4.111,-0.317,2.091,8.443,0.44,5.96,1026.36,32.5,0
4.313,-0.781,1.895,7.265,0.46,7.37,1106.05,32.5,0
4.256,-0.712,1.835,7.108,0.35,5.86,944.98,32.5,0
4.192,0.524,2.221,8.74,0.99,6.78,1077.92,32.5,0
5.076,0.084,1.918,9.351,0.0,7.76,1413.51,32.5,0
4.235,-0.819,1.884,7.553,0.0,8.08,943.23,32.5,0
4.175,-0.673,1.922,7.336,0.91,5.53,905.04,32.5,0
4.126,-0.626,1.99,7.332,0.71,4.6,810.29,32.5,0
4.416,-0.885,1.681,6.889,0.29,7.33,927.13,32.44,0
4.114,-0.122,2.003,7.509,0.4,10.94,975.56,32.5,0
4.193,0.084,1.972,8.192,0.48,4.84,956.98,32.44,0
4.335,-0.342,1.909,7.568,2.52,6.16,962.17,32.38,0
4.337,-0.592,1.913,7.422,1.95,5.86,1011.32,32.38,0
4.191,-0.207,2.162,8.528,1.98,6.6,996.01,32.38,0
