RMS,Kurtosis,CrestFactor,P2P,CurrentAmp,DominantFreq,SpectralEnergy,Temp,Label
4.061,-0.695,1.808,6.630,2.84,5.66,1001.78,33.12,1
5.315,1.649,2.976,15.620,4.88,19.02,1714.34,33.19,1
5.707,2.174,2.807,15.253,0.00,6.07,1822.42,33.25,1
4.357,3.223,3.300,13.986,0.67,4.00,1198.25,33.19,1
2.247,0.808,2.371,5.217,5.11,4.99,510.29,33.25,1
5.631,1.212,2.784,15.055,2.69,2.81,1417.35,33.25,1
4.430,2.569,2.941,12.750,1.47,2.63,698.01,33.19,1
2.491,2.238,2.633,6.145,3.43,5.26,577.69,33.25,1
6.347,-0.089,2.386,14.465,3.94,-184.12,1894.59,33.25,1
5.392,1.399,2.781,14.878,1.31,7.59,1571.79,33.25,1
2.170,-0.583,1.884,3.580,3.04,5.93,555.15,33.25,1
4.081,4.610,3.426,13.620,5.60,2.84,762.17,33.25,1
5.982,1.184,2.964,17.264,5.62,20.91,1767.44,33.25,1
5.962,0.876,2.623,15.058,2.85,22.51,1853.12,33.25,1
4.882,2.436,3.196,15.226,0.49,5.17,1089.74,33.31,1
4.312,4.683,3.526,14.914,1.13,2.70,488.11,33.25,1
2.467,6.817,3.709,8.806,4.16,4.34,538.61,33.25,1
2.240,1.359,2.502,4.909,4.49,10.00,570.26,33.25,1
2.281,1.113,1.959,4.010,4.62,7.02,444.97,33.25,1
2.843,-0.279,1.974,4.913,2.75,5.01,638.39,33.25,1
3.101,-0.789,1.882,5.147,2.33,4.80,748.40,33.25,1
2.768,-0.289,1.999,4.926,2.52,5.47,634.63,33.31,1
2.636,0.029,2.019,4.925,2.28,4.15,619.01,33.31,1
2.345,0.174,2.150,4.584,3.37,6.43,581.31,33.31,1
2.275,1.157,2.622,5.719,0.76,5.54,538.08,33.31,1
2.071,-0.082,2.122,4.002,1.25,5.07,507.32,33.31,1
2.092,-0.081,2.142,4.395,2.05,4.70,553.71,33.31,1
2.159,0.117,2.232,4.438,2.78,7.50,567.52,33.31,1
2.168,-0.511,2.149,4.525,2.27,6.47,559.05,33.31,1
2.409,1.177,2.230,5.195,4.79,5.61,578.45,33.31,1
2.374,1.303,2.457,5.386,2.56,4.89,609.40,33.31,1
2.115,-0.102,1.985,4.050,2.06,5.34,460.45,33.31,1
2.768,-0.590,1.867,4.664,4.08,7.75,696.40,33.31,1
2.484,0.550,2.109,4.532,3.18,5.81,585.58,33.31,1
2.168,1.007,2.387,5.040,2.83,6.32,508.36,33.31,1
2.078,1.201,2.308,4.346,1.93,5.87,477.81,33.31,1
2.533,-0.541,1.779,4.247,2.28,4.22,561.36,33.31,1
2.200,-0.639,1.824,3.785,0.89,4.49,535.26,33.31,1
2.354,-0.573,1.817,3.935,1.11,6.14,578.08,33.31,1
2.271,-0.457,1.973,3.885,1.37,6.00,523.62,33.31,1
2.114,0.138,2.247,4.462,2.38,6.73,508.93,33.38,1
2.347,-0.206,2.038,4.018,3.26,5.21,517.87,33.38,1
2.290,-0.186,1.981,4.070,3.57,6.36,526.61,33.38,1
6.379,0.022,2.360,14.632,3.29,5.03,1538.33,33.31,1
2.560,0.678,2.355,5.428,2.31,6.22,612.39,33.38,1
5.939,0.929,2.627,15.150,1.00,13.18,1852.80,33.38,1
3.282,1.680,2.469,7.512,2.32,3.89,712.70,33.38,1
3.029,0.204,2.237,6.030,0.32,5.18,759.69,33.38,1
2.929,0.103,2.171,6.179,2.19,6.45,698.69,33.38,1
3.036,0.596,2.157,6.233,1.93,6.30,711.24,33.38,1
7.945,-0.676,2.037,15.093,1.69,5.94,2164.36,33.38,1
8.508,-0.980,1.717,13.271,2.37,5.00,2113.00,33.38,1
2.772,0.267,2.035,4.749,1.54,7.92,642.29,33.38,1
2.874,-0.215,1.886,4.953,1.99,7.64,635.41,33.44,1
2.782,0.176,1.793,4.877,2.71,5.79,574.02,33.38,1
4.922,4.380,3.301,15.738,2.86,2.79,831.47,33.44,1
2.822,-0.119,1.888,4.696,1.93,6.46,673.53,33.44,1
2.896,-0.347,2.009,5.322,3.11,7.36,719.67,33.38,1
2.917,0.762,2.217,5.779,3.57,4.66,637.98,33.44,1
2.966,-0.429,1.971,5.272,2.68,6.48,726.63,33.44,1
3.088,-0.165,2.103,5.931,2.35,6.73,709.97,33.44,1
2.857,0.243,2.163,5.350,1.27,5.52,672.88,33.44,1
3.022,0.971,2.163,5.926,2.57,7.57,750.69,33.44,1
2.973,-0.350,1.960,5.240,1.07,5.29,688.01,33.44,1
2.857,1.106,2.144,5.644,1.87,5.26,635.41,33.44,1
3.040,0.127,2.067,5.778,3.05,5.85,705.77,33.44,1
3.024,-0.112,1.942,5.161,2.33,6.55,704.90,33.44,1
3.088,-0.069,2.041,5.706,2.15,5.74,657.06,33.44,1
3.008,-0.092,1.891,4.989,2.87,6.54,671.55,33.50,1
3.042,0.408,2.108,6.019,2.78,8.66,749.74,33.50,1
3.052,0.473,2.136,5.850,2.22,5.12,657.06,33.50,1
3.102,0.232,2.044,5.989,1.36,7.71,687.26,33.50,1
