
RMS,Kurtosis,CrestFactor,P2P,CurrentAmp,DominantFreq,SpectralEnergy,Temp,Label
0.068,-0.115,1.996,0.119,0.00,6.21,17.26,32.44,0
4.845,1.864,2.612,12.291,1.39,2.91,982.74,32.44,0
4.177,8.045,3.557,13.971,2.48,4.26,1154.72,32.44,0
4.217,8.218,3.524,14.190,2.16,4.75,863.91,32.44,0
3.975,-0.935,1.672,6.050,0.51,5.73,907.06,32.44,0
4.095,-0.407,1.830,6.824,0.26,5.75,903.82,32.44,0
3.976,0.533,2.201,7.847,0.17,5.83,862.12,32.44,0
4.309,7.977,3.448,14.125,1.32,7.80,1229.91,32.44,0
4.177,-0.224,1.800,6.621,0.00,9.17,850.51,32.44,0
3.911,-0.438,1.769,6.255,0.89,6.60,854.17,32.44,0
5.093,2.071,2.917,14.398,0.25,3.37,1062.60,32.44,0
4.274,1.499,2.277,9.270,0.61,5.88,916.77,32.44,0
4.117,-0.195,1.917,7.191,0.37,6.68,937.26,32.50,0
4.122,-0.020,1.898,7.670,0.49,6.66,883.00,32.44,0
4.141,-0.193,2.108,8.265,0.43,5.23,925.54,32.44,0
4.143,0.486,2.184,8.443,0.27,5.43,901.30,32.50,0
4.268,-0.290,1.808,7.144,0.61,5.01,979.57,32.44,0
4.404,-0.353,1.820,7.829,0.87,7.52,994.99,32.44,0
4.371,18.848,4.360,18.517,1.75,7.38,942.46,32.44,0
4.146,0.769,2.163,8.627,0.63,6.10,918.62,32.44,0
4.574,0.637,2.128,9.126,0.83,5.09,1127.43,32.50,0
4.084,-0.513,1.867,6.995,0.36,5.55,899.90,32.50,0
3.929,-0.569,1.868,6.880,0.18,6.00,887.90,32.44,0
4.149,-0.272,1.961,7.855,0.99,7.09,884.50,32.44,0
4.181,-0.347,1.884,7.062,0.36,6.97,975.51,32.44,0
4.287,0.002,1.943,8.053,0.48,7.30,1030.11,32.44,0
3.943,-0.724,1.840,6.584,0.99,6.45,846.81,32.44,0
4.183,-0.372,1.816,6.873,0.37,6.94,903.41,32.44,0
4.108,-0.273,1.950,7.658,0.22,6.38,937.47,32.44,0
4.342,-0.251,1.851,7.669,0.69,5.38,1029.20,32.44,0
4.255,-0.318,1.841,7.509,0.64,6.15,903.81,32.50,0
5.392,0.914,2.755,13.876,0.26,5.13,1326.93,32.44,0
